"Emissiebronnen";"Emissies naar lucht";"Perioden";"Emissies naar lucht (mln kg)"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2005";"     4.9"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2006";"     4.6"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2007";"     4.4"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2008";"     4.0"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2009";"     3.7"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2010";"     3.6"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2011";"     3.5"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2012";"     3.4"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2013";"     3.4"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2014";"     3.4"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2015";"     3.5"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2016";"     3.6"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2017";"     3.6"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2018";"     3.7"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2019";"     3.6"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2020";"     3.3"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2021";"     3.5"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2022";"     3.6"
"Wegverkeer; totaal";"Ammoniak (NH3)";"2023*";"     3.7"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"1990";"   257.9"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"1995";"   196.6"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2000";"   158.7"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2001";"   151.6"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2002";"   145.7"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2003";"   140.7"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2004";"   138.1"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2005";"   128.7"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2006";"   122.3"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2007";"   117.3"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2008";"   110.7"
"Wegverkeer; totaal";"Stikstofoxiden (NOx)";"2009";"   101.5"
